c Esto es un archivo con instancias para grafos. 
p did 150
e 0 1 127.77938432
e 0 2 127.124885
e 0 3 213.502311444
e 0 4 256.850268173
e 0 5 122.506314165
e 0 6 200.318961807
e 0 7 202.023481419
e 0 8 205.549611818
e 0 9 97.6907495387
e 0 10 252.884671514
e 0 11 279.305462867
e 0 12 201.153430724
e 0 13 80.5391150146
e 0 14 72.1595669611
e 0 15 54.9774551943
e 0 16 204.944857768
e 0 17 131.452844026
e 0 18 279.30826538
e 0 19 72.4148323307
e 0 20 148.792590214
e 0 21 263.751750278
e 0 22 81.9139902314
e 0 23 8.78412603204
e 0 24 146.073135757
e 0 25 249.592525685
e 0 26 288.738846905
e 0 27 157.636808724
e 0 28 143.251095181
e 0 29 17.8744878986
e 0 30 74.2967070682
e 0 31 187.409100415
e 0 32 295.380639598
e 0 33 61.9421582506
e 0 34 9.62790769003
e 0 35 89.6316794993
e 0 36 55.8488769671
e 0 37 12.9643976268
e 0 38 126.008240787
e 0 39 125.174036749
e 0 40 272.33145404
e 0 41 213.810137619
e 0 42 290.070511198
e 0 43 232.189327988
e 0 44 193.17084233
e 0 45 16.1040278904
e 0 46 164.535392748
e 0 47 99.1975988695
e 0 48 229.852581059
e 0 49 78.0788167614
e 0 50 291.120546471
e 0 51 204.806542147
e 0 52 126.916081395
e 0 53 140.57205924
e 0 54 18.8214883454
e 0 55 227.196132549
e 0 56 70.8644977287
e 0 57 130.691587872
e 0 58 270.05246492
e 0 59 231.714944945
e 0 60 185.275197073
e 0 61 137.791351999
e 0 62 131.840154826
e 0 63 170.667279562
e 0 64 82.5248078278
e 0 65 37.9380884001
e 0 66 1.06973899641
e 0 67 253.405541513
e 0 68 76.4878965381
e 0 69 28.1169983047
e 0 70 236.737589038
e 0 71 291.189762876
e 0 72 220.776364578
e 0 73 65.2615003352
e 0 74 4.41182295849
e 0 75 241.274333033
e 0 76 8.3989521558
e 0 77 110.608530446
e 0 78 53.1055325773
e 0 79 197.770283726
e 0 80 89.3953928754
e 0 81 164.562547521
e 0 82 77.1171010012
e 0 83 37.6081155443
e 0 84 24.7429932989
e 0 85 229.449143478
e 0 86 281.269526892
e 0 87 162.369253409
e 0 88 185.618866422
e 0 89 59.2385461431
e 0 90 228.461202901
e 0 91 165.671280609
e 0 92 35.4959592753
e 0 93 190.563944992
e 0 94 292.824070397
e 0 95 267.302030493
e 0 96 46.2315119674
e 0 97 275.839623673
e 0 98 200.335483104
e 0 99 80.6051620668
e 0 100 98.2621665047
e 0 101 180.786550354
e 0 102 67.394922056
e 0 103 45.4128316631
e 0 104 40.8891128571
e 0 105 204.852770684
e 0 106 138.755032477
e 0 107 99.1974624964
e 0 108 73.2762295892
e 0 109 24.0106459553
e 0 110 166.221522339
e 0 111 246.148938099
e 0 112 165.43953016
e 0 113 97.5356076177
e 0 114 43.9142619328
e 0 115 65.5610605364
e 0 116 76.0348131974
e 0 117 238.752354652
e 0 118 244.452208503
e 0 119 266.316692854
e 0 120 278.911979066
e 0 121 266.991636617
e 0 122 212.325394798
e 0 123 125.114946951
e 0 124 72.1483470546
e 0 125 38.0422069151
e 0 126 129.6150785
e 0 127 254.835315026
e 0 128 71.5213861867
e 0 129 222.522430676
e 0 130 6.2599471511
e 0 131 280.015555543
e 0 132 97.5681169946
e 0 133 215.524047499
e 0 134 64.5963533013
e 0 135 283.748551146
e 0 136 268.826820695
e 0 137 192.401975117
e 0 138 6.78309417301
e 0 139 126.985001084
e 0 140 281.173108683
e 0 141 157.079879244
e 0 142 277.794525926
e 0 143 160.081279179
e 0 144 132.402549715
e 0 145 178.079386409
e 0 146 118.504886535
e 0 147 11.331967318
e 0 148 151.809801639
e 0 149 271.702352706
e 1 2 21.4405116787
e 1 3 56.9131348303
e 1 4 153.39663779
e 1 5 33.6022432686
e 1 6 269.052863943
e 1 7 184.56227638
e 1 8 104.874420492
e 1 9 52.2987809621
e 1 10 281.807154146
e 1 11 235.093561176
e 1 12 88.3173340658
e 1 13 260.658361948
e 1 14 234.330786353
e 1 15 282.683146153
e 1 16 237.422386766
e 1 17 242.021406397
e 1 18 158.247059043
e 1 19 203.018849899
e 1 20 161.958074273
e 1 21 233.300932336
e 1 22 133.674526643
e 1 23 218.761851318
e 1 24 70.9223341669
e 1 25 73.992831316
e 1 26 95.7094301812
e 1 27 110.709130071
e 1 28 248.730668564
e 1 29 283.844032513
e 1 30 20.2375579754
e 1 31 154.447110415
e 1 32 231.087029401
e 1 33 60.2564528334
e 1 34 254.392383127
e 1 35 161.449393236
e 1 36 91.9232051043
e 1 37 61.3452018387
e 1 38 32.9232099062
e 1 39 283.725027923
e 1 40 173.399799032
e 1 41 21.1524598839
e 1 42 269.273085157
e 1 43 117.361205777
e 1 44 240.267773163
e 1 45 73.4525110486
e 1 46 113.671527011
e 1 47 78.6919691021
e 1 48 173.583623062
e 1 49 97.2800573754
e 1 50 152.050187665
e 1 51 4.18135694525
e 1 52 209.747574091
e 1 53 100.722348762
e 1 54 59.7910918183
e 1 55 25.5867554791
e 1 56 190.768530165
e 1 57 63.4907436197
e 1 58 214.50703123
e 1 59 142.62043624
e 1 60 149.033250323
e 1 61 74.0117211214
e 1 62 104.778221095
e 1 63 219.772129556
e 1 64 93.9360894367
e 1 65 121.956275014
e 1 66 16.5882226177
e 1 67 151.041285361
e 1 68 69.3081842704
e 1 69 60.6834416445
e 1 70 296.317295833
e 1 71 291.360892179
e 1 72 228.247057255
e 1 73 41.4331930089
e 1 74 136.595298658
e 1 75 182.775957263
e 1 76 86.2394892192
e 1 77 248.227987414
e 1 78 191.53260467
e 1 79 94.7732825643
e 1 80 172.403863437
e 1 81 121.646449468
e 1 82 33.1575813255
e 1 83 53.2635081056
e 1 84 94.1065329582
e 1 85 146.096425455
e 1 86 153.143712607
e 1 87 186.892261012
e 1 88 261.58854996
e 1 89 272.400831523
e 1 90 179.048210334
e 1 91 132.18420404
e 1 92 139.720323858
e 1 93 240.361643854
e 1 94 177.2074283
e 1 95 224.148258211
e 1 96 194.745207957
e 1 97 14.5783579522
e 1 98 123.613709603
e 1 99 33.049080261
e 1 100 294.325506827
e 1 101 253.336012605
e 1 102 105.343944104
e 1 103 140.753807078
e 1 104 258.783587082
e 1 105 35.6280488359
e 1 106 150.091880776
e 1 107 199.960867569
e 1 108 109.223700082
e 1 109 277.983768511
e 1 110 62.2004079835
e 1 111 134.986904068
e 1 112 256.138154774
e 1 113 196.821135944
e 1 114 4.99520636989
e 1 115 289.112566901
e 1 116 280.324569576
e 1 117 3.76597988834
e 1 118 155.026173457
e 1 119 59.7745973586
e 1 120 256.743305541
e 1 121 145.844382147
e 1 122 10.0665739677
e 1 123 298.305608186
e 1 124 138.758436779
e 1 125 40.6754439742
e 1 126 110.638070011
e 1 127 287.019183594
e 1 128 201.617478743
e 1 129 223.932849416
e 1 130 76.0620015661
e 1 131 84.5305129244
e 1 132 143.478658822
e 1 133 146.569486106
e 1 134 61.2606193961
e 1 135 94.9837453073
e 1 136 3.07678934579
e 1 137 126.056823603
e 1 138 163.577921164
e 1 139 140.979252135
e 1 140 283.317930922
e 1 141 133.963396951
e 1 142 117.552452181
e 1 143 108.11584844
e 1 144 160.396944975
e 1 145 158.766607887
e 1 146 233.813157902
e 1 147 96.479345834
e 1 148 80.4614356234
e 1 149 74.6758893083
e 2 3 148.368790508
e 2 4 121.817332242
e 2 5 53.5679972949
e 2 6 0.865174840302
e 2 7 150.997432432
e 2 8 30.977720443
e 2 9 35.2091369558
e 2 10 120.729846768
e 2 11 19.7480735414
e 2 12 106.971531022
e 2 13 237.788084504
e 2 14 88.4711694517
e 2 15 206.094082016
e 2 16 124.31280691
e 2 17 63.4968986506
e 2 18 277.966320675
e 2 19 184.326811073
e 2 20 175.448391429
e 2 21 127.422266325
e 2 22 71.1044247118
e 2 23 92.723673541
e 2 24 203.845027946
e 2 25 248.197002249
e 2 26 189.725119389
e 2 27 225.360052799
e 2 28 73.157408041
e 2 29 138.508272768
e 2 30 272.878650941
e 2 31 186.579201862
e 2 32 219.548742734
e 2 33 164.758455161
e 2 34 173.181812773
e 2 35 186.631458559
e 2 36 25.981855339
e 2 37 282.959278592
e 2 38 168.826291096
e 2 39 193.819715647
e 2 40 57.5043906958
