c Esto es un archivo con instancias para grafos. 
p did 100 9077
e 61 12 99 79
e 22 75 24 44
e 18 24 30 8
e 84 26 38 26
e 39 79 73 18
e 27 42 85 47
e 56 9 31 69
e 21 6 5 14
e 53 22 22 94
e 78 45 84 32
e 10 94 60 91
e 78 98 70 90
e 70 87 37 72
e 59 46 49 80
e 31 2 85 99
e 27 66 74 72
e 52 39 38 67
e 25 2 26 26
e 15 59 20 12
e 98 49 37 15
e 84 44 59 92
e 24 99 53 14
e 56 26 34 89
e 18 3 44 49
e 97 17 33 57
e 38 93 82 20
e 9 76 73 57
e 29 17 76 90
e 72 85 91 8
e 18 34 46 64
e 84 10 41 9
e 14 13 76 65
e 10 42 83 54
e 59 79 56 38
e 97 21 5 18
e 81 46 11 100
e 12 18 84 44
e 67 17 95 94
e 18 62 24 99
e 85 45 95 100
e 83 22 66 75
e 16 31 70 20
e 20 43 99 0
e 35 61 0 43
e 70 24 47 93
e 67 71 20 59
e 66 24 44 99
e 29 13 60 16
e 40 78 52 96
e 17 29 100 87
e 73 82 19 0
e 59 72 40 65
e 86 7 85 27
e 34 32 53 75
e 99 46 7 21
e 42 52 27 80
e 49 15 51 44
e 39 63 38 23
e 32 91 80 69
e 47 28 45 25
e 35 78 56 30
e 72 45 33 47
e 40 100 98 60
e 61 22 22 55
e 79 59 15 79
e 93 19 61 45
e 11 29 82 50
e 21 4 35 63
e 41 71 8 12
e 75 25 75 39
e 93 65 82 35
e 25 47 59 57
e 3 90 100 99
e 78 32 63 9
e 47 76 25 78
e 3 36 39 47
e 67 6 76 96
e 77 78 22 18
e 96 29 60 69
e 91 3 38 11
e 83 91 63 3
e 62 94 59 77
e 67 22 83 27
e 7 60 52 30
e 17 8 75 55
e 60 48 61 97
e 9 33 31 74
e 11 87 62 22
e 81 47 76 29
e 34 40 54 30
e 98 79 55 28
e 52 9 84 34
e 4 98 13 67
e 86 46 59 100
e 59 24 28 64
e 85 64 38 78
e 86 40 54 19
e 46 43 42 33
e 79 99 38 70
e 54 32 13 16
e 57 89 93 2
e 32 41 56 4
e 93 83 20 97
e 75 43 13 79
e 75 83 54 92
e 85 70 51 0
e 74 46 61 87
e 6 63 48 83
e 50 92 95 70
e 24 43 71 58
e 10 86 21 80
e 60 25 37 76
e 15 66 74 10
e 70 65 70 75
e 60 58 22 95
e 9 63 17 6
e 25 46 73 63
e 20 21 42 49
e 35 22 37 10
e 64 61 1 55
e 3 53 39 30
e 37 53 91 70
e 71 43 14 9
e 27 3 96 83
e 55 69 47 43
e 17 85 8 69
e 81 10 54 77
e 88 23 83 89
e 93 16 2 31
e 48 45 23 24
e 66 33 45 45
e 67 4 42 41
e 61 51 81 93
e 48 90 41 82
e 38 8 29 66
e 70 73 16 40
e 100 35 0 31
e 86 17 29 64
e 97 91 16 85
e 32 90 22 6
e 79 27 63 69
e 78 19 45 58
e 41 59 90 29
e 4 26 64 38
e 10 14 53 15
e 67 58 81 77
e 7 28 61 51
e 100 89 35 31
e 28 77 30 35
e 100 77 58 4
e 56 100 71 69
e 30 62 53 7
e 48 61 49 59
e 64 18 11 57
e 20 84 49 52
e 40 4 51 46
e 97 9 33 29
e 33 75 35 18
e 11 99 14 68
e 19 79 7 12
e 57 70 42 14
e 11 82 5 69
e 44 52 98 87
e 17 28 51 54
e 45 20 41 68
e 26 78 56 96
e 21 83 16 40
e 12 49 55 49
e 76 32 65 37
e 74 100 80 46
e 9 73 60 55
e 67 11 38 49
e 79 8 36 83
e 98 35 90 98
e 10 85 47 81
e 87 66 36 63
e 8 40 93 89
e 41 26 90 12
e 89 8 7 71
e 83 97 72 93
e 94 48 23 93
e 94 3 25 77
e 87 50 70 14
e 54 81 2 41
e 69 25 21 32
e 42 36 11 100
e 74 61 23 85
e 62 67 70 39
e 8 100 56 73
e 66 70 62 93
e 68 59 33 70
e 46 90 38 7
e 67 50 26 47
e 34 98 82 12
e 40 84 52 93
e 80 67 42 3
e 74 7 52 72
e 47 95 100 82
e 34 37 86 18
e 60 81 17 30
e 88 68 67 36
e 30 73 77 85
e 83 37 49 6
e 22 81 92 57
e 52 7 59 49
e 86 84 89 97
e 72 86 31 13
e 4 90 61 63
e 74 38 5 35
e 91 14 71 93
e 70 19 44 1
e 70 14 20 87
e 58 56 36 99
e 59 84 76 16
e 61 56 93 78
e 97 12 19 74
e 64 48 36 1
e 100 41 53 37
e 66 41 83 55
e 88 1 44 93
e 34 61 23 34
e 45 54 31 48
e 33 17 25 77
e 60 79 58 78
e 62 21 73 15
e 12 32 58 76
e 69 60 42 78
e 61 1 27 20
e 3 100 30 17
e 51 37 41 11
e 36 5 97 73
e 48 39 60 7
e 92 64 97 62
e 26 29 47 90
e 26 27 66 91
e 8 80 6 6
e 37 42 19 26
e 52 48 15 65
e 8 82 90 30
e 57 33 46 11
e 50 61 78 70
e 100 38 22 60
e 38 80 29 39
e 21 10 21 70
e 10 100 38 76
e 90 72 87 15
e 74 92 27 58
e 34 89 26 89
e 12 85 41 93
e 18 80 0 69
e 92 93 5 99
e 23 10 16 71
e 7 27 44 6
e 83 73 44 90
e 26 34 76 84
e 37 26 5 5
e 76 29 54 57
e 96 32 61 59
e 80 64 59 62
e 99 6 17 49
e 71 88 16 30
e 98 74 16 38
e 75 44 9 46
e 61 44 22 72
e 87 96 51 73
e 22 20 62 51
e 19 22 34 4
e 6 47 19 27
e 71 2 10 5
